Comments,W [lb],Xcg [mm],Ycg [mm],Zcg [mm],Ixx [lb*mm2],Iyy [lb*mm2],Izz [lb*mm2],Ixy [lb*mm2],Ixz [lb*mm2],Iyz [lb*mm2]
AFT4,112.4485025,-0.002124119,13817.55349,136.5349863,12577892.09,24557042.46,37087488.45,-66.70159113,16.26388491,-434038.0098
AFT3,113.309299,0.00176196,13842.1838,166.6007002,12574766.74,24229748.98,36756998.12,68.47378776,-10.92750259,-422988.201
AFT2,113.0777195,-0.000194477,13918.77586,198.4226999,10941313.48,24960868.85,35853199.67,-6.388940923,0.972433625,-343855.0301
AFT1,112.5579157,3.85244E-09,14111.09989,243.5703441,6984671.897,25163057.7,32040749.39,-0.000167323,-2.17609E-05,14102.54365
FWD10,160.9857756,-0.005211344,8365.266445,-202.4397116,37514923.76,21949123.76,59201861.88,1746.470818,-178.4118279,-1785115.708
FWD9,160.9876374,0.005510277,8084.927311,-146.892367,60741640.67,28586531.1,89136664.27,702.1085698,45.70365664,-2160496.011
FWD8,161.0106171,0.004960583,8036.085753,-109.89442,63917902.84,32815757.84,96545925.81,-698.5117973,37.69237456,-2241573.764
FWD7,160.9933056,0.00383884,8015.114818,-76.55065147,64871948.45,35727252.47,100413196.9,-291.6974962,63.45891379,-2268979.548
FWD6,161.0014023,0.0039029,8008.698272,-45.13835701,64563356.05,38008418.77,102390186.1,-376.0364502,-0.173340278,-2244086.19
FWD5,161.0091709,-0.005176532,8090.501722,-16.41070401,56321071.27,42745010.06,98906847.57,584.0672069,-98.41450666,-1911656.843
FWD4,160.9993091,-0.012832941,8188.398511,16.73636619,50816945.12,53440371.63,104092015.2,716.6208802,-44.89871221,-1742689.372
FWD3,160.9936867,-0.003191952,8235.346619,64.71785365,43365195.89,71060965.34,114234756,-110.6339015,37.34435758,-1455124.357
FWD2,161.0152878,0.000428418,8334.348376,134.7685453,32688904.54,89985108.96,122390839.4,-115.9533212,8.512136018,-973744.7414
FWD1,161.0038076,-4.42053E-08,8558.720478,275.7625047,18929413.64,119194336.7,136305604.9,-0.002264981,0.000456516,917455.4993
